old_url,post_type,post_id,wp_status,title,live_http,live_text_chars,outcome_suggested,outcome,target_path,notes
http://repeatexplorer.org/,page,2,publish,Home,200,7800,rewrite,rewrite,/,
http://repeatexplorer.org/?page_id=14,page,14,publish,Workshop,200,7868,archive,rewrite,/workshops/,
http://repeatexplorer.org/?page_id=19,page,19,publish,Registration,200,7168,archive,archive,/workshops/2025/registration/,
http://repeatexplorer.org/?page_id=43,page,43,publish,FAQs,200,7688,rewrite,drop,/galaxy-server/,FTP instructions reference the retired repeatexplorer.umbr.cas.cz
http://repeatexplorer.org/?page_id=46,page,46,publish,Publications,200,7216,rewrite,rewrite,/publications/,Rendered from data/publications.yml; old page was Zotpress from Zotero group 208208
http://repeatexplorer.org/?page_id=111,page,111,publish,Workshop 2014 programme,200,9317,archive,archive,/workshops/2014/,2014 presentations exist as orphaned uploads; attach them to this year page
http://repeatexplorer.org/?page_id=125,page,125,publish,Documentation,200,7795,keep,drop,/workshops/,"Hub split by destination: slides to their year pages, manual links to tool pages"
http://repeatexplorer.org/?page_id=166,page,166,publish,RepeatExplorer Manual,200,47740,keep,archive,/protocols/repeatexplorer2-manual/,Converted verbatim; dated historical banner pointing at repex_tarean
http://repeatexplorer.org/?page_id=179,page,179,publish,Reproducibility,200,8685,keep,keep,/protocols/coverage-and-reproducibility/,Permanent alias ?page_id=179 - linked from the Galaxy welcome page
http://repeatexplorer.org/?page_id=203,page,203,publish,R output,200,10312,keep,drop,/tools/repeatexplorer2/,Output format has changed; text not migrated
http://repeatexplorer.org/?page_id=456,page,456,publish,Workshop 2014 gallery,200,14810,drop,drop,/workshops/2014/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=500,page,500,publish,Archive,200,6200,archive,drop,/workshops/,
http://repeatexplorer.org/?page_id=502,page,502,private,2014,404,0,drop,drop,,Already 404 before migration; no redirect rule
http://repeatexplorer.org/?page_id=520,page,520,publish,Workshop  2015 Programme,200,9731,archive,archive,/workshops/2015/,2015 presentations exist as orphaned uploads; attach them to this year page
http://repeatexplorer.org/?page_id=582,page,582,publish,Workshop 2015 gallery,200,14808,drop,drop,/workshops/2015/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=607,page,607,publish,Workshop 2016 programme,200,9480,archive,archive,/workshops/2016/,2016 presentations exist as orphaned uploads; attach them to this year page
